date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:47:11	42006/42006	---M--	200	added ('OK')	image/jpeg	etag:%229c7db79c5629d01:0%22	https://www.elines.vn/Images/ThemeForest/elines/advertise.jpg	C:/My%20Web%20Sites/elines/www.elines.vn/Images/ThemeForest/elines/advertise.jpg	(from https://www.elines.vn/)
23:47:12	50763/50763	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Mar%202018%2016:45:05%20GMT	https://www.elines.vn/QuocTe/LuaChonVe.aspx?sessionId=9251885	C:/My%20Web%20Sites/elines/www.elines.vn/QuocTe/LuaChonVef439.html	(from https://www.elines.vn/)
23:47:12	50756/50756	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Mar%202018%2016:45:06%20GMT	https://www.elines.vn/QuocTe/LuaChonVe.aspx?sessionId=9251870	C:/My%20Web%20Sites/elines/www.elines.vn/QuocTe/LuaChonVe8672.html	(from https://www.elines.vn/)
23:47:12	50756/50756	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Mar%202018%2016:45:06%20GMT	https://www.elines.vn/QuocTe/LuaChonVe.aspx?sessionId=9251869	C:/My%20Web%20Sites/elines/www.elines.vn/QuocTe/LuaChonVe2e95.html	(from https://www.elines.vn/)
23:47:13	50756/50756	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Mar%202018%2016:45:06%20GMT	https://www.elines.vn/QuocTe/LuaChonVe.aspx?sessionId=9251847	C:/My%20Web%20Sites/elines/www.elines.vn/QuocTe/LuaChonVe85c7.html	(from https://www.elines.vn/)
23:47:13	50756/50756	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Mar%202018%2016:45:07%20GMT	https://www.elines.vn/QuocTe/LuaChonVe.aspx?sessionId=9251841	C:/My%20Web%20Sites/elines/www.elines.vn/QuocTe/LuaChonVe5e61.html	(from https://www.elines.vn/)
23:47:13	50764/50764	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Mar%202018%2016:45:07%20GMT	https://www.elines.vn/QuocTe/LuaChonVe.aspx?sessionId=9251839	C:/My%20Web%20Sites/elines/www.elines.vn/QuocTe/LuaChonVec5c9.html	(from https://www.elines.vn/)
23:47:13	55791/55791	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Mar%202018%2016:45:07%20GMT	https://www.elines.vn/tin-tuc/Tin-nhanh/5-thien-duong-du-lich--cho-gioi-tre-Viet-trong-nam-2017-71	C:/My%20Web%20Sites/elines/www.elines.vn/tin-tuc/Tin-nhanh/5-thien-duong-du-lich--cho-gioi-tre-Viet-trong-nam-2017-71.html	(from https://www.elines.vn/)
23:47:14	49796/49796	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Mar%202018%2016:45:07%20GMT	https://www.elines.vn/tin-tuc/Tin-nhanh/4-meo-rat-thuc-te-neu-muon-di-du-lich-tiet-kiem-70	C:/My%20Web%20Sites/elines/www.elines.vn/tin-tuc/Tin-nhanh/4-meo-rat-thuc-te-neu-muon-di-du-lich-tiet-kiem-70.html	(from https://www.elines.vn/)
23:47:14	47513/47513	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Mar%202018%2016:45:08%20GMT	https://www.elines.vn/tin-tuc/Tin-nhanh/NHUNG-QUY-DINH-DI-MAY-BAY-DOI-VOI-PHU-NU-MANG-THAI-69	C:/My%20Web%20Sites/elines/www.elines.vn/tin-tuc/Tin-nhanh/NHUNG-QUY-DINH-DI-MAY-BAY-DOI-VOI-PHU-NU-MANG-THAI-69.html	(from https://www.elines.vn/)
23:47:14	48861/48861	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Mar%202018%2016:45:08%20GMT	https://www.elines.vn/tin-tuc/Tin-nhanh/KINH-NGHIEM-DU-LICH-DA-LAT-MOT-MINH-CHI-VOI-2-TRIEU-DONG-68	C:/My%20Web%20Sites/elines/www.elines.vn/tin-tuc/Tin-nhanh/KINH-NGHIEM-DU-LICH-DA-LAT-MOT-MINH-CHI-VOI-2-TRIEU-DONG-68.html	(from https://www.elines.vn/)
23:47:14	48826/48826	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Mar%202018%2016:45:08%20GMT	https://www.elines.vn/tin-tuc/Tin-nhanh/DU-LICH-BIEN-DA-NANG-VAO-MUA-THU---TAI-SAO-KHONG-67	C:/My%20Web%20Sites/elines/www.elines.vn/tin-tuc/Tin-nhanh/DU-LICH-BIEN-DA-NANG-VAO-MUA-THU---TAI-SAO-KHONG-67.html	(from https://www.elines.vn/)
23:47:14	49990/49990	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Mar%202018%2016:45:08%20GMT	https://www.elines.vn/tin-tuc/Ve-may-bay-theo-hang/Ve-may-bay-Qatar-Airways-28	C:/My%20Web%20Sites/elines/www.elines.vn/tin-tuc/Ve-may-bay-theo-hang/Ve-may-bay-Qatar-Airways-28.html	(from https://www.elines.vn/)
23:47:15	43168/43168	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Mar%202018%2016:45:08%20GMT	https://www.elines.vn/tin-tuc/Ve-may-bay-theo-hang/Ve-may-bay-Emirates-Airlines--27	C:/My%20Web%20Sites/elines/www.elines.vn/tin-tuc/Ve-may-bay-theo-hang/Ve-may-bay-Emirates-Airlines--27.html	(from https://www.elines.vn/)
23:47:15	55820/55820	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Mar%202018%2016:45:09%20GMT	https://www.elines.vn/tin-tuc/Ve-may-bay-theo-hang/Ve-may-bay-Dragon-Air-26	C:/My%20Web%20Sites/elines/www.elines.vn/tin-tuc/Ve-may-bay-theo-hang/Ve-may-bay-Dragon-Air-26.html	(from https://www.elines.vn/)
23:47:15	54893/54893	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Mar%202018%2016:45:09%20GMT	https://www.elines.vn/tin-tuc/Ve-may-bay-theo-hang/Ve-may-bay-American-Airlines-25	C:/My%20Web%20Sites/elines/www.elines.vn/tin-tuc/Ve-may-bay-theo-hang/Ve-may-bay-American-Airlines-25.html	(from https://www.elines.vn/)
23:47:16	58022/58022	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Mar%202018%2016:45:10%20GMT	https://www.elines.vn/tin-tuc/Ve-may-bay-theo-hang/Ve-may--bay-Jetstar-24	C:/My%20Web%20Sites/elines/www.elines.vn/tin-tuc/Ve-may-bay-theo-hang/Ve-may--bay-Jetstar-24.html	(from https://www.elines.vn/)
23:47:16	55870/55870	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Mar%202018%2016:45:10%20GMT	https://www.elines.vn/tin-tuc/Ve-may-bay-theo-hang/Ve-may-bay-Delta-Air-Lines-23	C:/My%20Web%20Sites/elines/www.elines.vn/tin-tuc/Ve-may-bay-theo-hang/Ve-may-bay-Delta-Air-Lines-23.html	(from https://www.elines.vn/)
23:47:16	51076/51076	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Mar%202018%2016:45:10%20GMT	https://www.elines.vn/tin-tuc/Ve-may-bay-Quoc-te-6	C:/My%20Web%20Sites/elines/www.elines.vn/tin-tuc/Ve-may-bay-Quoc-te-6.html	(from https://www.elines.vn/)
23:47:17	67309/67309	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Mar%202018%2016:45:10%20GMT	https://www.elines.vn/tin-tuc/Ve-may-bay-Quoc-te/Ve-may-bay-di-Canada-1	C:/My%20Web%20Sites/elines/www.elines.vn/tin-tuc/Ve-may-bay-Quoc-te/Ve-may-bay-di-Canada-1.html	(from https://www.elines.vn/)
23:47:17	61793/61793	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Mar%202018%2016:45:11%20GMT	https://www.elines.vn/tin-tuc/Ve-may-bay-Quoc-te/Ve-may-bay-di-Duc-2	C:/My%20Web%20Sites/elines/www.elines.vn/tin-tuc/Ve-may-bay-Quoc-te/Ve-may-bay-di-Duc-2.html	(from https://www.elines.vn/)
23:47:17	61840/61840	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Mar%202018%2016:45:11%20GMT	https://www.elines.vn/tin-tuc/Ve-may-bay-Quoc-te/Ve-may-bay-Trung-Quoc-3	C:/My%20Web%20Sites/elines/www.elines.vn/tin-tuc/Ve-may-bay-Quoc-te/Ve-may-bay-Trung-Quoc-3.html	(from https://www.elines.vn/)
23:47:17	63423/63423	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Mar%202018%2016:45:11%20GMT	https://www.elines.vn/tin-tuc/Ve-may-bay-Quoc-te/Ve-may-bay-di-HongKong-4	C:/My%20Web%20Sites/elines/www.elines.vn/tin-tuc/Ve-may-bay-Quoc-te/Ve-may-bay-di-HongKong-4.html	(from https://www.elines.vn/)
23:47:18	59499/59499	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Mar%202018%2016:45:11%20GMT	https://www.elines.vn/tin-tuc/Ve-may-bay-Quoc-te/Ve-may-bay-di-Nhat-Ban-5	C:/My%20Web%20Sites/elines/www.elines.vn/tin-tuc/Ve-may-bay-Quoc-te/Ve-may-bay-di-Nhat-Ban-5.html	(from https://www.elines.vn/)
23:47:18	66469/66469	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Mar%202018%2016:45:12%20GMT	https://www.elines.vn/tin-tuc/Ve-may-bay-Quoc-te/Ve-may-bay-di-Han-Quoc-6	C:/My%20Web%20Sites/elines/www.elines.vn/tin-tuc/Ve-may-bay-Quoc-te/Ve-may-bay-di-Han-Quoc-6.html	(from https://www.elines.vn/)
23:47:18	63091/63091	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Mar%202018%2016:45:12%20GMT	https://www.elines.vn/tin-tuc/Ve-may-bay-Quoc-te/Ve-may-bay-di-Thai-Lan-7	C:/My%20Web%20Sites/elines/www.elines.vn/tin-tuc/Ve-may-bay-Quoc-te/Ve-may-bay-di-Thai-Lan-7.html	(from https://www.elines.vn/)
23:47:18	63220/63220	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Mar%202018%2016:45:12%20GMT	https://www.elines.vn/tin-tuc/Ve-may-bay-Quoc-te/Ve-may-bay-di-Phap-8	C:/My%20Web%20Sites/elines/www.elines.vn/tin-tuc/Ve-may-bay-Quoc-te/Ve-may-bay-di-Phap-8.html	(from https://www.elines.vn/)
23:47:18	55506/55506	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Mar%202018%2016:45:12%20GMT	https://www.elines.vn/tin-tuc/Ve-may-bay-Quoc-te/Ve-may-bay-di-Uc-9	C:/My%20Web%20Sites/elines/www.elines.vn/tin-tuc/Ve-may-bay-Quoc-te/Ve-may-bay-di-Uc-9.html	(from https://www.elines.vn/)
23:47:19	47199/47199	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Mar%202018%2016:45:12%20GMT	https://www.elines.vn/tin-tuc/Ve-may-bay-Quoc-te/Ve-may-bay-di-Anh-10	C:/My%20Web%20Sites/elines/www.elines.vn/tin-tuc/Ve-may-bay-Quoc-te/Ve-may-bay-di-Anh-10.html	(from https://www.elines.vn/)
23:47:19	52111/52111	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Mar%202018%2016:45:13%20GMT	https://www.elines.vn/tin-tuc/Ve-may-bay-Noi-dia-7	C:/My%20Web%20Sites/elines/www.elines.vn/tin-tuc/Ve-may-bay-Noi-dia-7.html	(from https://www.elines.vn/)
23:47:19	55145/55145	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Mar%202018%2016:45:13%20GMT	https://www.elines.vn/tin-tuc/Ve-may-bay-Noi-dia/Ve-may-bay-di-Ban-Me-Thuot-11	C:/My%20Web%20Sites/elines/www.elines.vn/tin-tuc/Ve-may-bay-Noi-dia/Ve-may-bay-di-Ban-Me-Thuot-11.html	(from https://www.elines.vn/)
23:47:19	53907/53907	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Mar%202018%2016:45:13%20GMT	https://www.elines.vn/tin-tuc/Ve-may-bay-Noi-dia/Ve-may-bay-di-Dong-Hoi-12	C:/My%20Web%20Sites/elines/www.elines.vn/tin-tuc/Ve-may-bay-Noi-dia/Ve-may-bay-di-Dong-Hoi-12.html	(from https://www.elines.vn/)
23:47:19	50853/50853	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Mar%202018%2016:45:13%20GMT	https://www.elines.vn/tin-tuc/Ve-may-bay-Noi-dia/Ve-may-bay-di-Phu-Quoc-13	C:/My%20Web%20Sites/elines/www.elines.vn/tin-tuc/Ve-may-bay-Noi-dia/Ve-may-bay-di-Phu-Quoc-13.html	(from https://www.elines.vn/)
23:47:20	51446/51446	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Mar%202018%2016:45:13%20GMT	https://www.elines.vn/tin-tuc/Ve-may-bay-Noi-dia/Ve-may-bay-di-Nha-Trang-14	C:/My%20Web%20Sites/elines/www.elines.vn/tin-tuc/Ve-may-bay-Noi-dia/Ve-may-bay-di-Nha-Trang-14.html	(from https://www.elines.vn/)
23:47:20	54501/54501	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Mar%202018%2016:45:14%20GMT	https://www.elines.vn/tin-tuc/Ve-may-bay-Noi-dia/Ve-may-bay-di-Ha-Noi-15	C:/My%20Web%20Sites/elines/www.elines.vn/tin-tuc/Ve-may-bay-Noi-dia/Ve-may-bay-di-Ha-Noi-15.html	(from https://www.elines.vn/)
23:47:20	54436/54436	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Mar%202018%2016:45:14%20GMT	https://www.elines.vn/tin-tuc/Ve-may-bay-Noi-dia/Ve-may-bay-di-Vinh-16	C:/My%20Web%20Sites/elines/www.elines.vn/tin-tuc/Ve-may-bay-Noi-dia/Ve-may-bay-di-Vinh-16.html	(from https://www.elines.vn/)
23:47:20	47087/47087	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Mar%202018%2016:45:14%20GMT	https://www.elines.vn/tin-tuc/Ve-may-bay-Noi-dia/Ve-may-bay-di-Hai-Phong-17	C:/My%20Web%20Sites/elines/www.elines.vn/tin-tuc/Ve-may-bay-Noi-dia/Ve-may-bay-di-Hai-Phong-17.html	(from https://www.elines.vn/)
23:47:20	69495/69495	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Mar%202018%2016:45:14%20GMT	https://www.elines.vn/tin-tuc/Ve-may-bay-Noi-dia/Ve-may-bay-di-Ho-Chi-Minh-18	C:/My%20Web%20Sites/elines/www.elines.vn/tin-tuc/Ve-may-bay-Noi-dia/Ve-may-bay-di-Ho-Chi-Minh-18.html	(from https://www.elines.vn/)
23:47:21	51639/51639	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Mar%202018%2016:45:14%20GMT	https://www.elines.vn/tin-tuc/Ve-may-bay-Noi-dia/Ve-may-bay-di-Da-Lat-19	C:/My%20Web%20Sites/elines/www.elines.vn/tin-tuc/Ve-may-bay-Noi-dia/Ve-may-bay-di-Da-Lat-19.html	(from https://www.elines.vn/)
